,Order,Mesh Size,Error,Alpha,Bonus Int,Type
0,1,1.0,0.0018894131769934498,5,10,ehdg
1,1,0.9540954763499939,0.0018894131769934498,5,10,ehdg
2,1,0.9102981779915219,0.0018894131769934498,5,10,ehdg
3,1,0.8685113737513527,0.0018894131769934498,5,10,ehdg
4,1,0.8286427728546845,0.0018894131769934498,5,10,ehdg
5,1,0.79060432109077,0.0008491780365320052,5,10,ehdg
6,1,0.7543120063354617,0.0008491780365318479,5,10,ehdg
7,1,0.719685673001152,0.0008491780365355657,5,10,ehdg
8,1,0.6866488450043001,0.0018894131770031207,5,10,ehdg
9,1,0.655128556859551,0.0005240608762881737,5,10,ehdg
10,1,0.6250551925273973,0.0005240608762882265,5,10,ehdg
11,1,0.5963623316594643,0.0005240608762883038,5,10,ehdg
12,1,0.5689866029018297,0.0005240608762882472,5,10,ehdg
13,1,0.5428675439323861,0.0005240608762882472,5,10,ehdg
14,1,0.5179474679231212,0.0005240608762882265,5,10,ehdg
15,1,0.4941713361323835,0.0005240608762882472,5,10,ehdg
16,1,0.4714866363457394,0.00078959082113787,5,10,ehdg
17,1,0.4498432668969446,0.00039515515098173076,5,10,ehdg
18,1,0.42919342601287785,0.00042864903300158017,5,10,ehdg
19,1,0.40949150623804254,0.0003954339456428131,5,10,ehdg
20,1,0.39069399370546176,0.00026793288008628756,5,10,ehdg
21,1,0.37275937203149406,0.0003079290093865043,5,10,ehdg
22,1,0.3556480306223129,0.0003082414452396038,5,10,ehdg
23,1,0.3393221771895329,0.00026734073019743775,5,10,ehdg
24,1,0.3237457542817644,0.0002729487246213794,5,10,ehdg
25,1,0.3088843596477481,0.0002727691153023613,5,10,ehdg
26,1,0.2947051702551811,0.0002737687743431873,5,10,ehdg
27,1,0.28117686979742307,0.00019617729277417975,5,10,ehdg
28,1,0.2682695795279726,0.00018770426135622986,5,10,ehdg
29,1,0.2559547922699536,0.00017631826425681992,5,10,ehdg
30,1,0.24420530945486515,0.00016373313055333935,5,10,ehdg
31,1,0.23299518105153724,0.00016375999187538153,5,10,ehdg
32,1,0.2222996482526195,0.00015569452416275888,5,10,ehdg
33,1,0.2120950887920191,0.00012266622863148048,5,10,ehdg
34,1,0.20235896477251572,0.00011140480184471012,5,10,ehdg
35,1,0.19306977288832505,0.00010992147856861416,5,10,ehdg
36,1,0.18420699693267165,0.00011062402046396176,5,10,ehdg
37,1,0.1757510624854792,8.813224297320239e-05,5,10,ehdg
38,1,0.16768329368110083,8.414285485001297e-05,5,10,ehdg
39,1,0.15998587196060585,9.152509488000801e-05,5,10,ehdg
40,1,0.15264179671752337,7.970396628782225e-05,5,10,ehdg
41,1,0.1456348477501244,8.169706147015228e-05,5,10,ehdg
42,1,0.13894954943731377,0.00011119051718382289,5,10,ehdg
43,1,0.13257113655901093,0.00012084667352086697,5,10,ehdg
44,1,0.12648552168552965,8.64929312987093e-05,5,10,ehdg
45,1,0.1206792640639329,0.0002493881785730472,5,10,ehdg
46,1,0.11513953993264475,0.0003773927112896682,5,10,ehdg
47,1,0.10985411419875583,0.0006801530925827407,5,10,ehdg
48,1,0.10481131341546858,0.006866282344820893,5,10,ehdg
49,1,0.1,0.001819403786350391,5,10,ehdg
50,2,1.0,0.000793628501527481,5,10,ehdg
51,2,0.9540954763499939,0.000793628501527481,5,10,ehdg
52,2,0.9102981779915219,0.000793628501527481,5,10,ehdg
53,2,0.8685113737513527,0.000793628501527481,5,10,ehdg
54,2,0.8286427728546845,0.000793628501527481,5,10,ehdg
55,2,0.79060432109077,0.0002753747289311406,5,10,ehdg
56,2,0.7543120063354617,0.0002753747289086698,5,10,ehdg
57,2,0.719685673001152,0.0002753747289363779,5,10,ehdg
58,2,0.6866488450043001,0.0007936285015235457,5,10,ehdg
59,2,0.655128556859551,0.0003024238811918334,5,10,ehdg
60,2,0.6250551925273973,0.0003024238811944524,5,10,ehdg
61,2,0.5963623316594643,0.00030242388120415816,5,10,ehdg
62,2,0.5689866029018297,0.00030242388119274726,5,10,ehdg
63,2,0.5428675439323861,0.00030242388119274726,5,10,ehdg
64,2,0.5179474679231212,0.0003024238811944524,5,10,ehdg
65,2,0.4941713361323835,0.00030242388119274726,5,10,ehdg
66,2,0.4714866363457394,0.000440360634892737,5,10,ehdg
67,2,0.4498432668969446,0.0001992843403912049,5,10,ehdg
68,2,0.42919342601287785,0.00019979358544637582,5,10,ehdg
69,2,0.40949150623804254,0.0002000285876524307,5,10,ehdg
70,2,0.39069399370546176,0.00014301368051915762,5,10,ehdg
71,2,0.37275937203149406,0.00018392775777787597,5,10,ehdg
72,2,0.3556480306223129,0.00018439434643068714,5,10,ehdg
73,2,0.3393221771895329,0.00014291567701478847,5,10,ehdg
74,2,0.3237457542817644,0.00014432255919866383,5,10,ehdg
75,2,0.3088843596477481,0.0001441214828300182,5,10,ehdg
76,2,0.2947051702551811,0.00022810883335374734,5,10,ehdg
77,2,0.28117686979742307,0.0006241470145996377,5,10,ehdg
78,2,0.2682695795279726,0.0003618680847042719,5,10,ehdg
79,2,0.2559547922699536,0.00016276679357623593,5,10,ehdg
80,2,0.24420530945486515,0.00010652095034866946,5,10,ehdg
81,2,0.23299518105153724,0.00010738475815009858,5,10,ehdg
82,2,0.2222996482526195,9.310122067313205e-05,5,10,ehdg
83,2,0.2120950887920191,8.279201014648237e-05,5,10,ehdg
84,2,0.20235896477251572,0.0005954571414352437,5,10,ehdg
85,2,0.19306977288832505,0.00025364479248734774,5,10,ehdg
86,2,0.18420699693267165,0.00015588665198418207,5,10,ehdg
87,2,0.1757510624854792,5.635992019731261e-05,5,10,ehdg
88,2,0.16768329368110083,5.484775012512625e-05,5,10,ehdg
89,2,0.15998587196060585,6.602483740331645e-05,5,10,ehdg
90,2,0.15264179671752337,4.562583926742118e-05,5,10,ehdg
91,2,0.1456348477501244,4.5514653002916644e-05,5,10,ehdg
92,2,0.13894954943731377,4.442784661448743e-05,5,10,ehdg
93,2,0.13257113655901093,3.9293356480747466e-05,5,10,ehdg
94,2,0.12648552168552965,3.631980726306075e-05,5,10,ehdg
95,2,0.1206792640639329,3.6654480753440995e-05,5,10,ehdg
96,2,0.11513953993264475,3.211315346810991e-05,5,10,ehdg
97,2,0.10985411419875583,3.0456107787563625e-05,5,10,ehdg
98,2,0.10481131341546858,2.644256346246817e-05,5,10,ehdg
99,2,0.1,2.5903230000289518e-05,5,10,ehdg
100,3,1.0,0.0004331301496982648,5,10,ehdg
101,3,0.9540954763499939,0.0004331301496982648,5,10,ehdg
102,3,0.9102981779915219,0.0004331301496982648,5,10,ehdg
103,3,0.8685113737513527,0.0004331301496982648,5,10,ehdg
104,3,0.8286427728546845,0.0004331301496982648,5,10,ehdg
105,3,0.79060432109077,0.00024363041531174883,5,10,ehdg
106,3,0.7543120063354617,0.0002436304176915729,5,10,ehdg
107,3,0.719685673001152,0.00024363040059640302,5,10,ehdg
108,3,0.6866488450043001,0.0004331301496279472,5,10,ehdg
109,3,0.655128556859551,0.0002190516539196095,5,10,ehdg
110,3,0.6250551925273973,0.00021905162950770424,5,10,ehdg
111,3,0.5963623316594643,0.00021905157521663282,5,10,ehdg
112,3,0.5689866029018297,0.0002190514488972681,5,10,ehdg
113,3,0.5428675439323861,0.0002190514488972681,5,10,ehdg
114,3,0.5179474679231212,0.00021905162950770424,5,10,ehdg
115,3,0.4941713361323835,0.0002190514488972681,5,10,ehdg
116,3,0.4714866363457394,0.0003953821587251397,5,10,ehdg
117,3,0.4498432668969446,0.00024395701086255017,5,10,ehdg
118,3,0.42919342601287785,0.00024392569625951175,5,10,ehdg
119,3,0.40949150623804254,0.00024245753622055026,5,10,ehdg
120,3,0.39069399370546176,0.00015232025639234093,5,10,ehdg
121,3,0.37275937203149406,0.0005910930743033211,5,10,ehdg
122,3,0.3556480306223129,0.0005651517486264836,5,10,ehdg
123,3,0.3393221771895329,0.00015963178087611277,5,10,ehdg
124,3,0.3237457542817644,0.00014693507195682456,5,10,ehdg
125,3,0.3088843596477481,0.00014795074557237052,5,10,ehdg
126,3,0.2947051702551811,0.00040489460396562354,5,10,ehdg
127,3,0.28117686979742307,9.544708889687789e-05,5,10,ehdg
128,3,0.2682695795279726,9.368531703279284e-05,5,10,ehdg
129,3,0.2559547922699536,9.739940399764653e-05,5,10,ehdg
130,3,0.24420530945486515,9.33949038039424e-05,5,10,ehdg
131,3,0.23299518105153724,9.338533123088385e-05,5,10,ehdg
132,3,0.2222996482526195,8.862798370309908e-05,5,10,ehdg
133,3,0.2120950887920191,6.842749027948856e-05,5,10,ehdg
134,3,0.20235896477251572,6.58470927930019e-05,5,10,ehdg
135,3,0.19306977288832505,6.623329936556305e-05,5,10,ehdg
136,3,0.18420699693267165,6.596575926930298e-05,5,10,ehdg
137,3,0.1757510624854792,5.284978001704866e-05,5,10,ehdg
138,3,0.16768329368110083,5.0866355165888545e-05,5,10,ehdg
139,3,0.15998587196060585,5.1614118101354275e-05,5,10,ehdg
140,3,0.15264179671752337,4.721085963775523e-05,5,10,ehdg
141,3,0.1456348477501244,4.707984501438561e-05,5,10,ehdg
142,3,0.13894954943731377,4.257210037827109e-05,5,10,ehdg
143,3,0.13257113655901093,3.371911310616359e-05,5,10,ehdg
144,3,0.12648552168552965,3.05648705442487e-05,5,10,ehdg
145,3,0.1206792640639329,3.11117646794287e-05,5,10,ehdg
146,3,0.11513953993264475,2.6432087419786047e-05,5,10,ehdg
147,3,0.10985411419875583,2.4183604857236876e-05,5,10,ehdg
148,3,0.10481131341546858,1.9891923333325576e-05,5,10,ehdg
149,3,0.1,1.9641077442075017e-05,5,10,ehdg
150,4,1.0,0.0005754695378162003,5,10,ehdg
151,4,0.9540954763499939,0.0005754695378162003,5,10,ehdg
152,4,0.9102981779915219,0.0005754695378162003,5,10,ehdg
153,4,0.8685113737513527,0.0005754695378162003,5,10,ehdg
154,4,0.8286427728546845,0.0005754695378162003,5,10,ehdg
155,4,0.79060432109077,0.00026669207604551647,5,10,ehdg
156,4,0.7543120063354617,0.0002666914659036613,5,10,ehdg
157,4,0.719685673001152,0.0002666919900187946,5,10,ehdg
158,4,0.6866488450043001,0.0005755961647323601,5,10,ehdg
159,4,0.655128556859551,0.00023206838800603715,5,10,ehdg
160,4,0.6250551925273973,0.00023206815307880177,5,10,ehdg
161,4,0.5963623316594643,0.0002320681541298702,5,10,ehdg
162,4,0.5689866029018297,0.0002320681547261204,5,10,ehdg
163,4,0.5428675439323861,0.0002320681547261204,5,10,ehdg
164,4,0.5179474679231212,0.00023206815307880177,5,10,ehdg
165,4,0.4941713361323835,0.0002320681547261204,5,10,ehdg
166,4,0.4714866363457394,0.0004762317540367385,5,10,ehdg
167,4,0.4498432668969446,0.0002089185204247011,5,10,ehdg
168,4,0.42919342601287785,0.00020905646119184277,5,10,ehdg
169,4,0.40949150623804254,0.00020919253873336472,5,10,ehdg
170,4,0.39069399370546176,0.00012882007855771836,5,10,ehdg
171,4,0.37275937203149406,0.00013874126185972494,5,10,ehdg
172,4,0.3556480306223129,0.00013873421937326383,5,10,ehdg
173,4,0.3393221771895329,0.00012877045781794217,5,10,ehdg
174,4,0.3237457542817644,0.00012952434881267224,5,10,ehdg
175,4,0.3088843596477481,0.00012939437925026066,5,10,ehdg
176,4,0.2947051702551811,0.00013774591509361063,5,10,ehdg
177,4,0.28117686979742307,9.255507329101151e-05,5,10,ehdg
178,4,0.2682695795279726,9.225498977003225e-05,5,10,ehdg
179,4,0.2559547922699536,9.233566922474447e-05,5,10,ehdg
180,4,0.24420530945486515,9.043459207964491e-05,5,10,ehdg
181,4,0.23299518105153724,9.041188541907794e-05,5,10,ehdg
182,4,0.2222996482526195,8.186362727693348e-05,5,10,ehdg
183,4,0.2120950887920191,6.310592189347612e-05,5,10,ehdg
184,4,0.20235896477251572,5.734149319537911e-05,5,10,ehdg
185,4,0.19306977288832505,5.7662298173493076e-05,5,10,ehdg
186,4,0.18420699693267165,5.745567120865101e-05,5,10,ehdg
187,4,0.1757510624854792,4.2554998959787814e-05,5,10,ehdg
188,4,0.16768329368110083,4.081676204483569e-05,5,10,ehdg
189,4,0.15998587196060585,4.098667322991548e-05,5,10,ehdg
190,4,0.15264179671752337,3.254285839970399e-05,5,10,ehdg
191,4,0.1456348477501244,3.233932453751296e-05,5,10,ehdg
192,4,0.13894954943731377,3.0242321210328168e-05,5,10,ehdg
193,4,0.13257113655901093,2.4822550736833024e-05,5,10,ehdg
194,4,0.12648552168552965,2.1691948618584613e-05,5,10,ehdg
195,4,0.1206792640639329,2.2290922694969392e-05,5,10,ehdg
196,4,0.11513953993264475,1.8617799641355022e-05,5,10,ehdg
197,4,0.10985411419875583,1.6393395205977628e-05,5,10,ehdg
198,4,0.10481131341546858,1.2894463501607069e-05,5,10,ehdg
199,4,0.1,1.2723383500003794e-05,5,10,ehdg
